datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2022/08/18 16:22:00,AQUA_M-T,Brasil,RIO DE JANEIRO,ARARUAMA,Mata Atlantica,7,0,1,-22.80487,-42.41315,29
2022/08/18 16:22:00,AQUA_M-T,Brasil,RIO DE JANEIRO,SEROPEDICA,Mata Atlantica,5,0,1,-22.79695,-43.70208,24.1
2022/08/18 16:22:00,AQUA_M-T,Brasil,RIO DE JANEIRO,SEROPEDICA,Mata Atlantica,5,0,1,-22.78438,-43.70359,19.2
2022/08/18 16:22:00,AQUA_M-T,Brasil,RIO DE JANEIRO,PARACAMBI,Mata Atlantica,0,0,1,-22.68852,-43.78241,19.3
2022/08/18 16:22:00,AQUA_M-T,Brasil,RIO DE JANEIRO,PARACAMBI,Mata Atlantica,0,0,1,-22.68828,-43.78728,21.3
2022/08/18 16:22:00,AQUA_M-T,Brasil,RIO DE JANEIRO,SAO JOSE DO VALE DO RIO PRETO,Mata Atlantica,8,0,0.99,-22.1551,-42.91919,44.9
2022/08/18 16:24:00,AQUA_M-T,Brasil,RIO DE JANEIRO,PORCIUNCULA,Mata Atlantica,66,0,1,-20.94674,-42.01128,17.7
2022/08/18 16:24:00,AQUA_M-T,Brasil,RIO DE JANEIRO,PORCIUNCULA,Mata Atlantica,66,0,1,-20.94503,-41.99683,42.9
2022/08/18 16:24:00,AQUA_M-T,Brasil,MINAS GERAIS,RITAPOLIS,Mata Atlantica,8,0,1,-20.94158,-44.30786,53.5
2022/08/18 16:24:00,AQUA_M-T,Brasil,MINAS GERAIS,RITAPOLIS,Mata Atlantica,8,0,0.99,-20.93946,-44.28779,71.3
2022/08/18 16:24:00,AQUA_M-T,Brasil,MINAS GERAIS,PAULA CANDIDO,Mata Atlantica,40,0,1,-20.86351,-42.95645,12.4
2022/08/18 16:24:00,AQUA_M-T,Brasil,MINAS GERAIS,SIMONESIA,Mata Atlantica,63,0,0.96,-20.01841,-42.01785,9.9
2022/08/18 16:24:00,AQUA_M-T,Brasil,SAO PAULO,SAO JOAQUIM DA BARRA,Cerrado,8,0,1,-20.57077,-48.01815,379
2022/08/18 16:24:00,AQUA_M-T,Brasil,MINAS GERAIS,SIMONESIA,Mata Atlantica,63,0,0.95,-20.01399,-42.02539,21.3
2022/08/18 16:24:00,AQUA_M-T,Brasil,SAO PAULO,SAO JOAQUIM DA BARRA,Cerrado,8,0,1,-20.56723,-47.97994,106.6
2022/08/18 16:24:00,AQUA_M-T,Brasil,SAO PAULO,GUAIRA,Cerrado,3,0,1,-20.31005,-48.25328,228.6
2022/08/18 16:24:00,AQUA_M-T,Brasil,SAO PAULO,GUAIRA,Cerrado,5,0,1,-20.30671,-48.21402,295
2022/08/18 16:24:00,AQUA_M-T,Brasil,MINAS GERAIS,SANTA BARBARA,Mata Atlantica,64,0,1,-19.99439,-43.41466,18.5
2022/08/18 16:24:00,AQUA_M-T,Brasil,SAO PAULO,GUAIRA,Cerrado,3,0,1,-20.30617,-48.26185,280
2022/08/18 16:24:00,AQUA_M-T,Brasil,MINAS GERAIS,CENTRALINA,Mata Atlantica,8,0,1,-18.63054,-49.15271,65.6
2022/08/18 16:24:00,AQUA_M-T,Brasil,SAO PAULO,GUAIRA,Cerrado,4,0,1,-20.3026,-48.22263,744.9
2022/08/18 16:24:00,AQUA_M-T,Brasil,SAO PAULO,GUAIRA,Cerrado,4,0,1,-20.29307,-48.25504,417.7
2022/08/18 16:24:00,AQUA_M-T,Brasil,SAO PAULO,GUAIRA,Cerrado,5,0,1,-20.28979,-48.2159,356.2
2022/08/18 16:24:00,AQUA_M-T,Brasil,MINAS GERAIS,CENTRALINA,Mata Atlantica,8,0,1,-18.63046,-49.1614,101.5
2022/08/18 16:24:00,AQUA_M-T,Brasil,SAO PAULO,GUAIRA,Cerrado,4,0,1,-20.28919,-48.26356,137.4
2022/08/18 16:24:00,AQUA_M-T,Brasil,MINAS GERAIS,CENTRALINA,Mata Atlantica,7,0,1,-18.61686,-49.20044,60.5
2022/08/18 16:24:00,AQUA_M-T,Brasil,SAO PAULO,GUAIRA,Cerrado,5,0,1,-20.28566,-48.22437,232.1
2022/08/18 16:24:00,AQUA_M-T,Brasil,MINAS GERAIS,UBERABA,Cerrado,7,0,1,-19.9099,-47.86487,36
2022/08/18 16:24:00,AQUA_M-T,Brasil,MINAS GERAIS,SACRAMENTO,Cerrado,8,0,1,-19.87788,-47.20426,111.8
2022/08/18 16:24:00,AQUA_M-T,Brasil,MINAS GERAIS,CENTRALINA,Mata Atlantica,7,0,1,-18.61297,-49.15615,98.4
2022/08/18 16:24:00,AQUA_M-T,Brasil,MINAS GERAIS,SACRAMENTO,Cerrado,7,0,1,-19.87592,-47.22906,50.6
